"text","text_en","cmp_code","eu_code"
"Οπλίζοντας τη Διοίκηση με άξια στελέχη.","By arming the Administration with worthy executives.",NA,NA
"Και με διαδικασίες που θα αξιολογούν, αλλά και θα επιβραβεύουν τις επιδόσεις τους.","And with procedures that will assess and reward their performance.",NA,NA
"Τρίτον, αξιοπρεπή δημόσια Υγεία και περισσότερα δικαιώματα στη Νέα Γενιά!","Thirdly, decent public health care and more rights for the younger generation!",NA,NA
"Με δωρεάν προληπτικές εξετάσεις για όλους, σύγχρονα νοσοκομεία και Τμήματα Επειγόντων.","With free preventive examinations for all, modern hospitals and emergency departments.",NA,NA
"Και, παράλληλα με προγράμματα προσιτής Στέγης στους νέους.","And, alongside affordable housing programs for young people.",NA,NA
"Και τέταρτον, μία πατρίδα ασφαλή, με το βλέμμα στο μέλλον.","And fourth, a safe and secure homeland, with an eye on the future.",NA,NA
"Ώστε, ενώ τα εθνικά σύνορα θα στέκουν απόρθητα, η Ελλάδα να δυναμώνει τη φωνή της έξω από αυτά.","So that, while the national borders stand impregnable, Greece can strengthen its voice outside them.",NA,NA
"Σε μία καθημερινότητα που θα γίνεται όλο και πιο εύκολη και πιο «πράσινη».","In an everyday life that will become easier and easier and greener.",NA,NA
"Τον Ιούλιο του 2019 διεκδικήσαμε μία χώρα με λιγότερους φόρους, νέες δουλειές, και καλύτερο εισόδημα.","In July 2019, we demanded a country with lower taxes, new jobs, and better income.",NA,NA
"Και την έχουμε!","And we have it!",NA,NA
"Συμφωνήσαμε, επίσης, να αντιμετωπίσουμε το Μεταναστευτικό και να ενισχύσουμε την Εθνική μας Άμυνα.","We also agreed to address immigration and strengthen our National Defense.",NA,NA
"Και το πετύχαμε!","And we did it!",NA,NA
"Στην κάλπη της 21ης Μαΐου, επιλέγουμε Πρωθυπουργό και Κυβέρνηση που θα μας κρατήσουν στον δρόμο της σιγουριάς και της προόδου, μακριά από τα φαντάσματα του χθες.","At the ballot box on May 21, we choose a Prime Minister and Government that will keep us on the path of certainty and progress, away from the ghosts of yesterday.",NA,NA
"Ψηφίζουμε κι αποφασίζουμε.","We vote and we decide.",NA,NA
"Δεν γυρίζουμε πίσω.","We do not turn back.",NA,NA
"Προχωράμε Σταθερά, Τολμηρά, Μπροστά!","We move Steadily, Boldly, Forward!",NA,NA
"Κυριάκος Μητσοτάκης","Kyriakos Mitsotakis",NA,NA
"A ΚΕΦΑΛΑΙΟ Παραγωγική Ελλάδα A1.","A CHAPTER Productive Greece A1.","H",NA
"ΕΝΙΣΧΥΣΗ ΕΙΣΟΔΗΜΑΤΟΣ","INCOME SUPPORT","H",NA
"Αύξηση του μέσου μισθού πάνω από 25% μέσα στην τετραετία 2023-2027 (στα 1.500 ευρώ από 1.170 ευρώ)","Increase the average wage by more than 25% within the four-year period 2023-2027 (to 1,500 euros from 1,170 euros)","701",NA
"και αύξηση κατώτατου μισθού στα 950 ευρώ εντός της τετραετίας.","and raise the minimum wage to 950 euros within the four-year period.","412",NA
"O κατώτατος μισθός θα αναπροσαρμόζεται βάσει του μέσου όρου του μισθού πλήρους απασχόλησης στον ιδιωτικό τομέα.","The minimum wage will be adjusted on the basis of the average full-time wage in the private sector.","412",NA
"Σταδιακή μείωση κατά μία επιπλέον μονάδα των ασφαλιστικών εισφορών και του μη μισθολογικού κόστους.","A gradual reduction by one additional point in social security contributions and non-wage costs.","701",NA
"Λιγότερες εισφορές, μεγαλύτερος μισθός για όλους.","Fewer contributions, higher wages for all.","402",NA
"Νέα αύξηση 3,4% στις συντάξεις από 1/1/2024.","New 3.4% increase in pensions from 1/1/2024.","504",NA
"Οι επικουρικές συντάξεις και τα εφάπαξ απονέμονται εντός δύο μηνών.","Supplementary pensions and lump sums awarded within two months.","504",NA
"Αύξηση μισθών των δημοσίων υπαλλήλων και αναμόρφωση του μισθολογίου τους από 1/1/2024.","Increase in civil servants' salaries and reform of their payroll from 1/1/2024.","701",NA
"Σταδιακή μείωση 20% του τέλους επιτηδεύματος το 2025, 30% το 2026 και κατάργηση έως το τέλος της τετραετίας το 2027.","Gradual reduction of 20% of the business tax in 2025, 30% in 2026 and abolition by the end of the four-year period in 2027.","402",NA
"Αυξάνεται από 1/1/2024 το αφορολόγητο κατά 1.000 ευρώ για οικογένειες που έχουν παιδιά.","Increase from 1/1/2024 the tax-free allowance by 1,000 euros for families with children.","504",NA
"Μονιμοποιείται η πλήρης απαλλαγή πρώην δικαιούχων Επιδόματος Κοινωνικής Αλληλεγγύης Συνταξιούχων (Ε.Κ.Α.Σ.), από τη συμμετοχή τους στη φαρμακευτική δαπάνη.","The full exemption of former beneficiaries of the Social Solidarity Benefit for Pensioners (SSSP) from participation in pharmaceutical expenses is made permanent.","504",NA
"A2. ΑΝΑΠΤΥΞΗ ΜΕ ΔΗΜΟΣΙΟΝΟΜΙΚΗ ΥΠΕΥΘΥΝΟΤΗΤΑ Α2","A2. DEVELOPMENT WITH FISCAL RESPONSIBILITY A2","H",NA
"Η χώρα εντάσσεται μετά από 13 χρόνια στην επενδυτική βαθμίδα, η οποία είναι αναγκαία για τη σημαντική αύξηση των επενδύσεων και την ισχυροποίηση της εθνικής μας οικονομίας.","After 13 years, the country is entering the investment grade, which is necessary to significantly increase investment and strengthen our national economy.","410",NA
"Η χώρα επιτυγχάνει μέσο ρυθμό ανάπτυξης 3%","The country achieves an average growth rate of 3%","410",NA
"και το δημόσιο χρέος μειώνεται στο 140% του ΑΕΠ το 2027 και στο 120% του ΑΕΠ το 2030.","and public debt is reduced to 140% of GDP in 2027 and 120% of GDP in 2030.","414",NA
"Επαναφορά και διατήρηση του πληθωρισμού στο 2%.","Restoring and maintaining inflation at 2%.","414",NA
"Συστήνεται ειδική υπηρεσία για την αξιοποίηση της ακίνητης περιουσίας του δημοσίου, ώστε να εξορθολογιστούν οι κτιριακές ανάγκες των υπηρεσιών του δημοσίου και να μειωθούν οι δαπάνες για ενοίκια κτιρίων.","A special agency is established to develop public real estate to rationalize the building needs of public services and reduce the cost of renting buildings.","413",NA
"A3. ΔΙΚΑΙΗ ΦΟΡΟΛΟΓΙΑ","A3. FAIR TAXATION","H",NA
"Καταπολέμηση φοροδιαφυγής με διενέργεια αυτόματων ψηφιακών ελέγχων, εντατικοποίηση των φορολογικών ελέγχων και διπλασιασμό των ηλεκτρονικών συναλλαγών με την καθολική χρήση POS για διενέργεια πληρωμών.","Combat tax evasion by carrying out automatic digital audits, intensifying tax audits and doubling electronic transactions through the universal use of POS for payments.","605.1",NA
"Αναπροσαρμογή και εξορθολογισμός συστήματος τεκμηρίων (μείωση τεκμηρίων διαβίωσης κατά περίπου 30% μεσοσταθμικά) από 1/1/2025, κατόπιν της υποχρεωτικής εφαρμογής του myData και της ενίσχυσης των ηλεκτρονικών συναλλαγών.","Adjustment and rationalisation of the presumption system (reduction of living presumptions by about 30% on average) from 1/1/2025, following the mandatory implementation of myData and the strengthening of electronic transactions.","411",NA
"Πληρωμή προνοιακών επιδομάτων μέσω χρεωστικών καρτών.","Payment of welfare benefits via debit cards.","504",NA
"Επέκταση του μειωμένου ΦΠΑ στις μεταφορές επιβατών, τον καφέ και τα μη αλκοολούχα ποτά, τον κινηματογράφο, τα γυμναστήρια, τις σχολές χορού και το τουριστικό πακέτο έως το τέλος του 2023.","Extension of reduced VAT on passenger transport, coffee and non-alcoholic beverages, cinema, gyms, dance schools and tourist package by the end of 2023.","402",NA
"Νέα διαδικασία για την άμεση επιστροφή ΦΠΑ με τη δημιουργία νέου πληροφοριακού συστήματος, ώστε να ενισχυθεί η ρευστότητα στην αγορά.","A new procedure for the immediate VAT refund with the creation of a new information system to enhance market liquidity.","402",NA
"A4. ΕΠΕΝΔΥΣΕΙΣ, ΠΕΡΙΦΕΡΕΙΑΚΗ ΑΝΑΠΤΥΞΗ, ΚΑΙΝΟΤΟΜΙΑ, ΜΕΤΑΠΟΙΗΣΗ ΚΑΙ ΕΞΩΣΤΡΕΦΕΙΑ","A4. INVESTMENT, REGIONAL DEVELOPMENT, INNOVATION, TRANSFORMATION AND OUTWARD-LOOKING","H",NA
"Αύξηση επενδύσεων κατά 70% έως το 2027.","Increase investment by 70% by 2027.","410",NA
"Διπλασιασμός δημόσιων επενδύσεων έως το 2030.","Doubling public investment by 2030.","410",NA
"Υψηλοί ρυθμοί απορρόφησης πόρων ΤΑΑ και ΕΣΠΑ.","High absorption rates of EAFRD and NSRF funds.","410",NA
"Αύξηση εξαγωγών στο 60% του ΑΕΠ έως το 2027 και 70% έως το 2030, με έμφαση στις εξαγωγές προϊόντων και υπηρεσιών υψηλής τεχνολογίας.","Increase exports to 60% of GDP by 2027 and 70% by 2030, with a focus on exports of high-tech goods and services.","410",NA
"Στήριξη των επενδύσεων στην έρευνα και την καινοτομία.","Support investment in research and innovation.","411",NA
"Υλοποίηση προγράμματος «Αντώνης Τρίτσης» άνω των 2 δις ευρώ, με έργα υποδομής σε κάθε περιφέρεια και δήμο της χώρας.","Implement the Antonis Tritsis programme of more than €2 billion, with infrastructure projects in every region and municipality of the country.","411",NA
"Δίκαιη Αναπτυξιακή Μετάβαση (ΔΑΜ) και αύξηση πόρων για περιφερειακά ΕΣΠΑ.","Fair Development Transition (RDT) and increased resources for regional NSRFs.","411",NA
"Ολοκληρωμένα αναπτυξιακά σχέδια για κάθε περιφέρεια της χώρας με στόχο τη μείωση των ενδοπεριφερειακών και διαπεριφερειακών ανισοτήτων και την άρση της απομόνωσης νησιωτικών και ορεινών περιοχών, με σημαντικά κίνητρα και ενισχύσεις.","Integrated development plans for each region of the country, aiming at reducing intra- and inter-regional disparities and removing the isolation of island and mountainous regions, with significant incentives and support.","411",NA
"Ολοκλήρωση Εθνικού και Αρχαιολογικού Κτηματολογίου.","Complete the National and Archaeological Cadastre.","304",NA
"Διασφαλίζεται η ιδιωτική και δημόσια περιουσία, απλοποιούνται οι μεταβιβάσεις ακινήτων και η έκδοση όλων των αδειών για επενδυτικά σχέδια ανεξαρτήτως κλίμακας.","Safeguard private and public property, simplify property transfers and simplify the issuance of all permits for investment projects of all scales.","401",NA
"Μείωση του φόρου συγκέντρωσης κεφαλαίων από 0,5% σε 0,2%.","Reduction of the capital gains tax from 0.5% to 0.2%.","402",NA
"Μείωση 50% του φόρου χρηματιστηριακών συναλλαγών.","Reduction of 50% of the stock exchange transaction tax.","402",NA
"Δημιουργία 2 μεγάλων κέντρων:","Creation of 2 large centres: the","411",NA
"Πολιτεία Καινοτομίας – ΧΡΩΠΕΙ στην Αθήνα και Τεχνολογικό Πάρκο «ThessINTEC» στη Θεσσαλονίκη.","State of Innovation - CHROPEI in Athens and the ""ThessINTEC"" Technology Park in Thessaloniki.","411",NA
"Επιπλέον 2,5 δις ευρώ κρατικές ενισχύσεις για τη στρατηγική αυτονομία, την οργανωμένη χωροθέτηση εντός επιχειρηματικών πάρκων και την «έξυπνη μεταποίηση» της ελληνικής βιομηχανίας.","An additional 2.5 billion euros of state aid for strategic autonomy, organised siting within business parks and ""smart manufacturing"" of Greek industry.","411",NA
"Αξιοποίηση νέων εργαλείων για τη μείωση του ενεργειακού κόστους των επιχειρήσεων.","Use of new tools to reduce energy costs for businesses.","416.2",NA
"Αύξηση μεριδίου μεταποίησης στο 15% του ΑΕΠ με την εφαρμογή της εθνικής μας στρατηγικής για τη βιομηχανία και την εξωστρέφεια των ελληνικών επιχειρήσεων.","Increase the share of manufacturing to 15% of GDP by implementing our national strategy for industry and the extroversion of Greek enterprises.","410",NA
"A5. ΠΡΟΣΒΑΣΗ ΣΕ ΧΡΗΜΑΤΟΔΟΤΗΣΗ","A5. ACCESS TO FINANCE","H",NA
"150.000 επιχειρήσεις ενισχύονται για τον ψηφιακό και πράσινο μετασχηματισμό τους.","150,000 enterprises are supported for their digital and green transformation.","402",NA
"Πρόσβαση σε 17 δις ευρώ φθηνού δανεισμού με χαμηλά επιτόκια για επενδύσεις πράσινου και ψηφιακού μετασχηματισμού μέσω του Ταμείου Ανάκαμψης «Ελλάδα 2.0».","Access to €17 billion of cheap low-interest loans for green and digital transformation investments through the Greece 2.0 Recovery Fund.","416.2",NA
"Μείωση του ιδιωτικού χρέους και στήριξη ευάλωτων δανειοληπτών με προστασία της πρώτης κατοικίας.","Reducing private debt and supporting vulnerable borrowers by protecting their first home.","402",NA
"Δυνατότητα επαναγοράς της πρώτης κατοικίας μετά από 12 χρόνια.","Possibility to buy back the first home after 12 years.","401",NA
"A6. ΕΡΓΑΣΙΑ, ΑΣΦΑΛΙΣΗ ΚΑΙ ΔΕΞΙΟΤΗΤΕΣ","A6. LABOUR, INSURANCE AND SKILLS","H",NA
"Η ανεργία μειώνεται κάτω από 10% το 2025 και κάτω από 8% το 2027, με τη δημιουργία νέων και καλά αμειβόμενων θέσεων εργασίας.","Unemployment is reduced to below 10% in 2025 and below 8% in 2027 by creating new and well-paid jobs.","701",NA
"Εφαρμογή ψηφιακής κάρτας εργασίας σε όλες τις επιχειρήσεις ανεξαρτήτως κλάδου ή μεγέθους.","Implement a digital job card in all enterprises regardless of sector or size.","701",NA
"Διενέργεια αυστηρών ελέγχων από την επιθεώρηση εργασίας για την απαρέγκλιτη τήρηση της εργατικής νομοθεσίας.","Conduct rigorous inspections by the labour inspectorate to ensure strict compliance with labour laws.","701",NA
"Ανάρτηση εβδομαδιαίας αναφοράς με τους ελέγχους που γίνονται σε πανελλαδικό επίπεδο.","Posting of a weekly report with the checks carried out at the national level.","701",NA
"Μόνιμο πρόγραμμα 10.000 νέων θέσεων εργασίας κάθε έτος για νέους έως 29 ετών με ελάχιστη ή περιορισμένη εργασιακή εμπειρία, με κάλυψη 50% του κόστους των ασφαλιστικών εισφορών για 6 μήνες για κάθε νέα πρόσληψη.","A permanent programme of 10,000 new jobs each year for young people up to 29 years of age with little or limited work experience, with 50% of the cost of insurance contributions covered for 6 months for each new hire.","701",NA
"Yψηλής ποιότητας κατάρτιση 700.000 ανέργων και εργαζομένων σε δεξιότητες με υψηλή ζήτηση.","High-quality training for 700,000 unemployed and employed people in high-demand skills.","411",NA
"Ψηφιακή Πύλη Προγραμμάτων Κατάρτισης & νέα ψηφιακή πλατφόρμα με σύγχρονες, εξατομικευμένες υπηρεσίες σε ανέργους, όπως η χαρτογράφηση δεξιοτήτων και η ανάπτυξη των ατομικών λογαριασμών δεξιοτήτων.","Digital Portal of Training Programmes & new digital platform with modern, personalised services to unemployed people, such as skills mapping and development of individual skills accounts.","701",NA
"Νέο σύστημα αξιολόγησης και Εθνικό Μητρώο Παρόχων Επαγγελματικής Κατάρτισης.","New assessment system and National Register of Vocational Training Providers.","411",NA
"A7. ΥΠΟΔΟΜΕΣ, ΜΕΤΑΦΟΡΕΣ, ΔΗΜΟΣΙΕΣ ΣΥΓΚΟΙΝΩΝΙΕΣ","A7. INFRASTRUCTURE, TRANSPORT, PUBLIC TRANSPORT","H",NA
"Είναι σε εξέλιξη 170 σημαντικά έργα υποδομών, κατασκευάζονται 1.183 χλμ. νέοι δρόμοι και 719 χλμ. νέες σιδηροδρομικές γραμμές.","170 major infrastructure projects are underway, 1 183 km of new roads and 719 km of new railway lines are under construction.","411",NA
"Μόνο από αυτά τα έργα δημιουργούνται 178.000 νέες θέσεις εργασίας.","These projects alone are creating 178,000 new jobs.","701",NA
"Ολοκληρώνονται 10 εμβληματικά έργα εθνικής εμβέλειας:","10 flagship projects of national importance are being completed:","411",NA
"Βόρειος Οδικός Άξονας Κρήτης (ΒΟΑΚ)","Northern Road Axis of Crete (BOAK)","411",NA
"Κατασκευή Γραμμής 4 του Μετρό Αθήνας","Construction of Line 4 of the Athens Metro","411",NA
"Μετρό Θεσσαλονίκης","Thessaloniki Metro","411",NA
"Ανατολική Εσωτερική Περιφερειακή Θεσσαλονίκης (flyover)","Eastern Internal Regional Railway of Thessaloniki (flyover)","411",NA
"Σύνδεση σιδηροδρόμου με τα μεγάλα λιμάνια της χώρας","Railway connection with the major ports of the country","411",NA
"Αυτοκινητόδρομος Πατρών - Πύργου","Motorway Patras - Pyrgos","411",NA
"Αυτοκινητόδρομος Κεντρικής Ελλάδας (E65)","Motorway of Central Greece (E65)","411",NA
"Κατασκευή επέκτασης Γραμμής 2 του Μετρό της Αθήνας προς Ίλιον","Construction of Line 2 extension of the Athens Metro to Ilion","411",NA
"Αναβάθμιση Προαστιακού Δυτικής Αττικής","Upgrading of the Suburban Railway of Western Attica","411",NA
"Νέο αεροδρόμιο Ηρακλείου στο Καστέλι, το πιο σύγχρονο της Μεσογείου","New Heraklion Airport in Kastelli, The most modern in the Mediterranean","411",NA
"Αύξηση συχνότητας δρομολογίων λεωφορείων ΟΑΣΑ και ΟΑΣΘ (ανά 5–10 λεπτά τις ώρες αιχμής).","Increase in bus frequency of OASA and OASTH buses (every 5-10 minutes during peak hours).","411",NA
"Αύξηση συχνότητας δρομολογίων Αττικού Μετρό σε 1,5 λεπτό τις ώρες αιχμής.","Increase in frequency of Attiko Metro services to 1.5 minutes during peak hours.","411",NA
"Προμήθεια 650 λεωφορείων μηδενικών ρύπων σε Αθήνα και Θεσσαλονίκη, προϋπολογισμού 337 εκατ. ευρώ.","Supply of 650 zero-emission buses in Athens and Thessaloniki, with a budget of €337 million.","411",NA
"Έως το 2027 θα κυκλοφορούν 2.000 αστικά λεωφορεία στην Αθήνα και 600 στη Θεσσαλονίκη.","By 2027, 2,000 urban buses will be in operation in Athens and 600 in Thessaloniki.","411",NA
"Μείωση 30% έως το 2025 και 50% έως το 2030 των τροχαίων ατυχημάτων.","Reduction of road accidents by 30% by 2025 and 50% by 2030.","411",NA
"A8. ΑΓΡΟΤΙΚΗ ΠΑΡΑΓΩΓΗ","A8. AGRICULTURAL PRODUCTION","H",NA
"Αύξηση του αριθμού των κατ’επάγγελμα νέων αγροτών κατά 60.000 μέχρι το 2027.","Increase the number of young professional farmers by 60,000 by 2027.","703.1",NA
"Οριστική κατάργηση του τέλους επιτηδεύματος για τους κατά κύριο επάγγελμα αγρότες.","Definitive abolition of the business tax for full-time farmers.","703.1",NA
"Εμπορία αγροτικών προϊόντων (τυποποιημένων) δια μέσω αγροτικών συλλογικών σχημάτων από το 18% στο 27% το 2027.","Marketing of agricultural products (standardised) through agricultural collective schemes from 18% to 27% in 2027.","703.1",NA
"Αύξηση γεωργικών εκτάσεων για παραγωγή βιολογικών προϊόντων από το 9,1% στο 16,4% το 2027.","Increase of agricultural land for organic production from 9.1% to 16.4% in 2027.","703.1",NA
"Δικαιότερες και ταχύτερες αποζημιώσεις για όλους τους δικαιούχους με την επικαιροποίηση κανονισμού ΕΛΓΑ.","Fairer and faster compensation for all beneficiaries with the updated ELGA regulation.","703.1",NA
"Επιστροφή ΕΦΚ στο Diesel στους αγρότες και για το 2023.","Refund of VAT on Diesel to farmers also for 2023.","703.1",NA
"Νέα αρδευτικά έργα σε όλη την επικράτεια και εκσυγχρονισμός των ΤΟΕΒ και ΓΟΕΒ, που θα αρδεύουν περισσότερα από 1,3 εκατ. στρέμματα και θα ωφελήσουν πάνω από 100.000 αγρότες.","New irrigation projects throughout the country and modernization of TOEB and GOEB, which will irrigate more than 1.3 million acres and benefit more than 100,000 farmers.","703.1",NA
"A9. ΤΟΥΡΙΣΜΟΣ/ ΝΑΥΤΙΛΙΑ","A9. TOURISM/MARITIME","H",NA
"12μηνη τουριστική περίοδος μέσω της ανάπτυξης εναλλακτικών μορφών τουρισμού και αύξηση της μέσης δαπάνης ανά ταξίδι.","A 12-month tourist season through the development of alternative forms of tourism and an increase in average expenditure per trip.","410",NA
"Στόχος τα δημόσια έσοδα από τον τουρισμό να φθάσουν τα 30 δις ευρώ ετησίως.","The aim is to raise public revenue from tourism to €30 billion per year.","410",NA
"Βιώσιμη Τουριστική Ανάπτυξη με ολοκλήρωση ειδικού χωροταξικού πλαισίου για Τουρισμό και έργα υποδομών ύψους 230 εκατ. ευρώ.","Sustainable Tourism Development through the completion of a specific spatial framework for tourism and infrastructure projects worth €230 million.","416.2",NA
"Αναβάθμιση τουριστικών λιμένων, δημιουργία 10 τουριστικών μαρινών και αναβάθμιση λιμενικών υποδομών.","Upgrading of tourist ports, creation of 10 tourist marinas and upgrading of port infrastructure.","411",NA
"Προγράμματα κατάρτισης για τουλάχιστον 180.000 εργαζόμενους στον τουρισμό σε νέες ειδικότητες σύμφωνα με τις ανάγκες της αγοράς, χωρίς γεωγραφικούς περιορισμούς.","Training programmes for at least 180,000 tourism workers in new specialities in line with market needs, without geographical restrictions.","411",NA
"Ενίσχυση της ζήτησης του εγχώριου τουρισμού, μέσω της συνέχισης του προγράμματος «Τουρισμός για όλους».","Strengthening the demand for domestic tourism through the continuation of the 'Tourism for All' programme.","410",NA
"Καθιέρωση πολιτικών προσβάσιμου τουρισμού.","Establish accessible tourism policies.","408",NA
"Αναθεώρηση και εξορθολογισμός του Συστήματος της Λιμενικής Διακυβέρνησης.","Review and rationalisation of the Port Governance System.","303",NA
"Ενίσχυση νησιωτικότητας με στοχευμένες πολιτικές.","Strengthening insularity through targeted policies.","410",NA
"B ΚΕΦΑΛΑΙΟ Κοινωνική Ελλάδα","B CHAPTER Social Greece","H",NA
"B1. ΥΓΕΙΑ","B1. HEALTH","H",NA
"Αύξηση των δαπανών του προϋπολογισμού για την υγεία και ενίσχυση του ιατρικού και νοσηλευτικού προσωπικού.","Increase health budget expenditure and strengthen medical and nursing staff.","504",NA
"Αύξηση του νοσηλευτικού προσωπικού κατά 10.000 εργαζόμενους, ώστε να φτάσουμε τον Ευρωπαϊκό μέσο όρο με 2,2 νοσηλευτές ανά κλίνη.","Increase nursing staff by 10,000 workers to reach the European average of 2.2 nurses per bed.","504",NA
"Ψηφιακός μετασχηματισμός Υγείας.","Digital Health Transformation.","504",NA
"Ενίσχυση του συστήματος ηλεκτρονικής συνταγογράφησης.","Strengthening the e-prescribing system.","504",NA
"Ολοκλήρωση του Ατομικού Ηλεκτρονικού Φακέλου Υγείας.","Completion of the Electronic Health Record.","504",NA
"Αναβάθμιση των ψηφιακών υποδομών στα νοσοκομεία.","Upgrade digital infrastructure in hospitals.","504",NA
"Επέκταση και ανάπτυξη των μητρώων ασθενών.","Expand and develop patient registers.","504",NA
"Ανακαίνιση και εκσυγχρονισμός 80 νοσοκομείων και 156 κέντρων υγείας, δημιουργία 315 μονάδων τηλεϊατρικής, 25 σύγχρονων κέντρων αποκατάστασης και κατασκευή Νέου Γενικού Νοσοκομείου Κομοτηνής, Πανεπιστημιακού Παιδιατρικού Νοσοκομείου Θεσσαλονίκης, νέου Γενικού Νοσοκομείου Σπάρτης) και Νέου Ογκολογικού Νοσοκομείου Θεσσαλονίκης, δωρεά του Ιδρύματος Σταύρος Νιάρχος.","Renovation and modernisation of 80 hospitals and 156 health centres, creation of 315 telemedicine units, 25 modern rehabilitation centres and construction of the New General Hospital of Komotini, the University Paediatric Hospital of Thessaloniki, the new General Hospital of Sparta and the New Oncology Hospital of Thessaloniki, donated by the Stavros Niarchos Foundation.","504",NA
"Εγγύηση πρόσβασης του ΕΚΑΒ, πρώτες βοήθειες σε 7 με 10 λεπτά από την κλήση σε αστικές και ημιαστικές περιοχές.","Guaranteed access of the ambulance, first aid within 7 to 10 minutes from the call in urban and semi-urban areas.","504",NA
"Δημιουργία 6 νέων βάσεων για πρωτογενή διάσωση και αεροδιακομιδές, για την αμεσότερη εξυπηρέτηση των πολιτών.","Creation of 6 new bases for primary rescue and air ambulance services, for the most direct service to citizens.","504",NA
"Αξιολόγηση διοικήσεων νοσοκομείων και ποιότητας παρεχόμενων υπηρεσιών προς τους ασθενείς με χρήση αντικειμενικών δεικτών.","Evaluation of hospital administrations and quality of services provided to patients using objective indicators.","504",NA
"Μείωση χρόνου αναμονής για χειρουργικές πράξεις κατά 50% και μείωση χρόνου αναμονής στα Τμήματα Επειγόντων Περιστατικών κατά 70% έως το τέλος του 2027.","Reduce waiting time for surgical operations by 50% and reduce waiting time in Emergency Departments by 70% by the end of 2027.","504",NA
"Μείωση του χρόνου αναμονής για ραντεβού σε εξωτερικά ιατρεία νοσοκομείων κατά 80% έως το 2027 και ανάπτυξη πλήρους ψηφιακής εφαρμογής για ραντεβού, για το σύνολο των δημόσιων δομών υγείας.","Reduce waiting time for outpatient hospital appointments by 80% by 2027 and develop a full digital appointment application for all public health facilities.","504",NA
"Επέκταση του θεσμού του προσωπικού γιατρού σε όλο τον πληθυσμό της χώρας και εισαγωγή του θεσμού συμβούλου υγείας.","Extend the institution of the personal doctor to the entire population of the country and introduce the institution of the health advisor.","504",NA
"Υλοποίηση των σχεδιασμένων προγραμμάτων μαζικών προληπτικών ελέγχων για τον καρκίνο του μαστού, του τραχήλου της μήτρας, του παχέος εντέρου, των καρδιαγγειακών κινδύνων καθώς και προληπτικές εξετάσεις σε κατοίκους απομακρυσμένων περιοχών.","Implementation of the planned programmes of mass screening for breast cancer, cervical cancer, colorectal cancer, cardiovascular risks and preventive examinations for residents of remote areas.","504",NA
"Μείωση της παχυσαρκίας στα παιδιά ηλικίας 2 έως 14 ετών από 37,5% σε 24,5% (330.000) έως το 2030.","Reduce obesity in children aged 2-14 years from 37.5% to 24.5% (330,000) by 2030.","504",NA
